Name	NameEnglish	Subtype	MainCategory	Region	Description
అమరావతి బౌద్ధ స్తూపం	అమరావతి బౌద్ధ స్తూపం	HISTORICAL_SITE	HISTORICAL	South India	అమరావతి బౌద్ధ స్తూపం is a historical site in Andhra Pradesh/Telangana
ఉదయగిరి కోట	ఉదయగిరి కోట	HISTORICAL_SITE	HISTORICAL	South India	ఉదయగిరి కోట is a historical site in Andhra Pradesh/Telangana
ఎలూరు కోట	ఎలూరు కోట	HISTORICAL_SITE	HISTORICAL	South India	ఎలూరు కోట is a historical site in Andhra Pradesh/Telangana
కాకతీయ శిథిలాలు (AP లోని భాగాలు)	కాకతీయ శిథిలాలు (AP లోని భాగాలు)	HISTORICAL_SITE	HISTORICAL	Andhra Pradesh	కాకతీయ శిథిలాలు (AP లోని భాగాలు) is a historical site in Andhra Pradesh/Telangana
కొండవీడు కోట	కొండవీడు కోట	HISTORICAL_SITE	HISTORICAL	South India	కొండవీడు కోట is a historical site in Andhra Pradesh/Telangana
గోల్కొండ కోట	గోల్కొండ కోట	HISTORICAL_SITE	HISTORICAL	South India	గోల్కొండ కోట is a historical site in Andhra Pradesh/Telangana
ఘంటసాల	ఘంటసాల	HISTORICAL_SITE	HISTORICAL	South India	ఘంటసాల is a historical site in Andhra Pradesh/Telangana
ఘంటసాల బౌద్ధ స్థలం	ఘంటసాల బౌద్ధ స్థలం	HISTORICAL_SITE	HISTORICAL	South India	ఘంటసాల బౌద్ధ స్థలం is a historical site in Andhra Pradesh/Telangana
ఘంటసాల బౌద్ధ స్థూపం	ఘంటసాల బౌద్ధ స్థూపం	HISTORICAL_SITE	HISTORICAL	South India	ఘంటసాల బౌద్ధ స్థూపం is a historical site in Andhra Pradesh/Telangana
చంద్రగిరి కోట	చంద్రగిరి కోట	HISTORICAL_SITE	HISTORICAL	South India	చంద్రగిరి కోట is a historical site in Andhra Pradesh/Telangana
నాగార్జున కొండ	నాగార్జున కొండ	HISTORICAL_SITE	HISTORICAL	South India	నాగార్జున కొండ is a historical site in Andhra Pradesh/Telangana
పులికట్ గోపురం	పులికట్ గోపురం	HISTORICAL_SITE	HISTORICAL	South India	పులికట్ గోపురం is a historical site in Andhra Pradesh/Telangana
బాపట్ల కోట	బాపట్ల కోట	HISTORICAL_SITE	HISTORICAL	South India	బాపట్ల కోట is a historical site in Andhra Pradesh/Telangana
బాపట్ల సముద్ర తీర కోట	బాపట్ల సముద్ర తీర కోట	HISTORICAL_SITE	HISTORICAL	South India	బాపట్ల సముద్ర తీర కోట is a historical site in Andhra Pradesh/Telangana
